day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2017-07-08,0,1,7,1,8,0,0,0,0,0,0,10
2017-07-09,0,15,127,130,140,0,0,0,0,0,0,727
2017-07-10,0,4,4,2,5,0,0,0,0,0,0,115
2017-07-11,0,37,123,153,134,0,0,0,0,0,0,1703
2017-07-12,0,53,196,293,253,0,0,0,0,0,0,2771
2017-07-13,0,1,242,296,278,0,0,0,0,0,0,9
2017-07-14,0,5,68,149,184,0,0,0,0,0,0,209
2017-07-15,0,2,17,26,52,0,0,0,0,0,0,9
2017-07-16,0,9,4,0,0,0,0,0,0,0,0,14
2017-07-17,3,1,15,32,48,4,0,0,0,0,0,9
2017-07-18,0,15,47,59,54,0,0,0,0,0,0,161
2017-07-19,2,12,89,115,145,13,0,0,0,0,0,616
2017-07-20,1,36,97,145,136,4,0,0,0,0,0,1899
2017-07-21,0,11,59,219,221,0,0,0,0,0,0,159
2017-07-22,0,4,59,167,225,0,0,0,0,0,0,15
2017-07-23,0,1,0,0,0,0,0,0,0,0,0,11
2017-07-24,0,2,3,3,5,0,0,0,0,0,0,14
2017-07-25,0,7,73,101,54,3,0,0,0,0,0,116
2017-07-26,0,77,82,101,95,2,0,0,0,0,0,119
2017-07-27,0,1,102,135,97,0,0,0,0,0,0,11
2017-07-28,5,14,17,26,14,16,0,0,0,0,0,19
2017-07-29,2,1,0,0,0,0,0,0,0,0,0,11
2017-07-30,0,5,4,0,2,1,0,0,0,0,0,12
2017-07-31,0,1,5,2,6,0,0,0,0,0,0,11
2017-08-01,0,7,12,1,6,1,0,0,0,0,0,28
2017-08-02,1,4,22,10,34,0,0,0,0,0,0,24
2017-08-03,0,2,13,3,15,0,0,0,0,0,0,12
2017-08-04,0,3,7,9,9,1,0,0,0,0,0,15
2017-08-05,0,2,5,1,9,0,0,0,0,0,0,9
2017-08-06,1,3,20,2,27,4,0,0,0,0,0,1
2017-08-07,1,1,2,0,3,1,0,0,0,0,0,10
2017-08-08,0,1,1,0,1,0,0,0,0,0,0,1
2017-08-09,0,2,4,0,3,0,0,0,0,0,0,21
2017-08-10,0,4,5,1,6,0,0,0,0,0,0,20
2017-08-11,1,1,2,2,5,0,0,0,0,0,0,11
2017-08-12,0,2,7,2,8,0,0,0,0,0,0,22
2017-08-13,0,3,4,0,4,0,0,0,0,0,0,21
2017-08-14,0,1,0,0,0,0,0,0,0,0,0,9
2017-08-15,0,1,3,1,4,0,0,0,0,0,0,10
2017-08-16,0,2,1,2,3,0,0,0,0,0,0,18
2017-08-17,1,2,0,0,0,0,0,0,0,0,0,9
2017-08-18,0,0,12,2,12,0,0,0,0,0,0,0
2017-08-19,2,3,0,1,1,1,0,0,0,0,0,11
2017-08-20,0,3,2,0,1,2,0,0,0,0,0,22
2017-08-21,0,0,5,1,6,0,0,0,0,0,0,0
2017-08-22,0,7,30,55,31,0,0,0,0,0,0,313
2017-08-23,0,30,97,237,130,0,0,0,0,0,0,722
2017-08-24,0,9,58,181,113,0,0,0,0,0,0,392
2017-08-25,0,5,6,0,3,0,0,0,0,0,0,13
2017-08-26,0,6,79,132,81,13,0,0,0,0,0,256
2017-08-27,0,10,102,234,132,0,0,0,0,0,0,441
